,i,s
0,2,
1,3,*
2,4,*2
3,5,*3
4,6,*4
5,7,*as
6,8,*catherine
7,9,*do
8,10,*kutuzov
9,11,1
10,12,10000
11,13,100000
12,14,10annette
13,15,11
14,16,13th
15,17,15
16,18,15000
17,19,150000
18,20,160000
19,21,18
20,22,1805
21,23,18056
22,24,1806
23,25,1807
24,26,18th
25,27,2
26,28,217
27,29,23
28,30,25th
29,31,26
30,32,3
31,33,30
32,34,30000
33,35,4
34,36,4th
35,37,5
36,38,6
37,39,7
38,40,70000
39,41,800
40,42,80000
41,43,a
42,44,aah
43,45,ab
44,46,abandon
45,47,abandoned
46,48,abandoning
47,49,abashed
48,50,abbe
49,51,abbes
50,52,abbreviations
51,53,abc
52,54,ability
53,55,able
54,56,abnormally
55,57,abominable
56,58,about
57,59,above
58,60,aboveboard
59,61,abreast
60,62,abroad
61,63,abrupt
62,64,abruptly
63,65,absence
64,66,absent
65,67,absentminded
66,68,absentmindedly
67,69,absentmindedness
68,70,absolute
69,71,absolutely
70,72,absorbed
71,73,abstaining
72,74,abstemious
73,75,abstract
74,76,absurd
75,77,abuse
76,78,abused
77,79,abuses
78,80,abyss
79,81,academy
80,82,accent
81,83,accenthaving
82,84,accents
83,85,accentuating
84,86,accept
85,87,accepted
86,88,accident
87,89,accidently
88,90,acclamations
89,91,accommodate
90,92,accommodation
91,93,accompanied
92,94,accompaniment
93,95,accompany
94,96,accompanying
95,97,accomplished
96,98,accord
97,99,accordance
98,100,accorded
99,101,according
100,102,accoucheur
101,103,account
102,104,accountant
103,105,accounted
104,106,accounts
105,107,accrue
106,108,accumulated
107,109,accuracy
108,110,accurate
109,111,accustomed
110,112,ace
111,113,acheit
112,114,aches
113,115,achieved
114,116,achievement
115,117,achilles
116,118,aching
117,119,acknowledge
118,120,acknowledged
119,121,acknowledging
120,122,acquaintance
121,123,acquaintancehe
122,124,acquaintances
123,125,acquainted
124,126,acquired
125,127,acquiring
126,128,acres
127,129,acrid
128,130,across
129,131,act
130,132,acted
131,133,acting
132,134,action
133,135,actionhe
134,136,actions
135,137,actionseeing
136,138,active
137,139,actively
138,140,activities
139,141,activity
140,142,activitythe
141,143,actor
142,144,actress
143,145,actresses
144,146,acts
145,147,actual
146,148,actually
147,149,actuated
148,150,acutely
149,151,adam
150,152,adapting
151,153,add
152,154,added
153,155,addicted
154,156,adding
155,157,addition
156,158,additional
157,159,address
158,160,addressed
159,161,addressing
160,162,adept
161,163,adieu
162,164,adjacent
163,165,adjoining
164,166,adjusted
165,167,adjusting
166,168,adjutant
167,169,adjutants
168,170,adjutantswas
169,171,administer
170,172,administered
171,173,admirable
172,174,admiration
173,175,admired
174,176,admirer
175,177,admiring
176,178,admission
177,179,admit
178,180,admithe
179,181,admits
180,182,admitted
181,183,admitting
182,184,admonishingly
183,185,admonitory
184,186,adopt
185,187,adopted
186,188,adorable
187,189,adoration
188,190,adore
189,191,adored
190,192,adores
191,193,adoring
192,194,adornment
193,195,adroit
194,196,adroitly
195,197,adroitness
196,198,advance
197,199,advanced
198,200,advances
199,201,advancing
200,202,advantage
201,203,advantageous
202,204,advantageously
203,205,advantages
204,206,advent
205,207,adversary
206,208,advesawies
207,209,advice
208,210,advisable
209,211,advise
210,212,advised
211,213,advising
212,214,advocates
213,215,afar
214,216,affably
215,217,affair
216,218,affairs
217,219,affairsnear
218,220,affairyes
219,221,affect
220,222,affectation
221,223,affected
222,224,affecting
223,225,affection
224,226,affectionate
225,227,affectionately
226,228,affetto
227,229,affirmative
228,230,affirmatively
229,231,afflicted
230,232,afforded
231,233,affronts
232,234,aflame
233,235,afloat
234,236,afraid
235,237,afraidafraid
236,238,afresh
237,239,africa
238,240,after
239,241,afterdinner
240,242,afterglow
241,243,afternoon
242,244,afterwards
243,245,again
244,246,against
245,247,agate
246,248,age
247,249,aged
248,250,ages
249,251,aghast
250,252,agile
251,253,agility
252,254,agitated
253,255,agitating
254,256,agitation
255,257,aglow
256,258,ago
257,259,agonizing
258,260,agonizingly
259,261,agony
260,262,agree
261,263,agreeable
262,264,agreeably
263,265,agreed
264,266,agreement
265,267,ague
266,268,ah
267,269,ahahah
268,270,ahead
269,271,ahing
270,272,aid
271,273,aide
272,274,aided
273,275,aidede
274,276,aidedecamp
275,277,aidesdecamp
276,278,aim
277,279,aime
278,280,aimed
279,281,aiming
280,282,aims
281,283,air
282,284,airs
283,285,akhrosimova
284,286,akimbo
285,287,akin
286,288,alarm
287,289,alarmed
288,290,albanians
289,291,albums
290,292,alcohol
291,293,alert
292,294,alesha
293,295,alexander
294,296,alexanders
295,297,alexandersbekleshev
296,298,alexeevich
